epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
84,18434,0.38178,0.4809,0.23584,0,0,0,0,nan,nan,nan,0.0003566,0.0003566,0.0003566
85,18647.4,0.37328,0.47649,0.23769,0,0,0,0,nan,nan,nan,0.0003368,0.0003368,0.0003368
86,18862.2,0.3827,0.47456,0.2345,0,0,0,0,nan,nan,nan,0.000317,0.000317,0.000317
87,19075.9,0.37321,0.4716,0.23449,0,0,0,0,nan,nan,nan,0.0002972,0.0002972,0.0002972
88,19289.1,0.37137,0.47072,0.23189,0,0,0,0,nan,nan,nan,0.0002774,0.0002774,0.0002774
89,19503.3,0.36993,0.46639,0.23245,0,0,0,0,nan,nan,nan,0.0002576,0.0002576,0.0002576
90,19717,0.35727,0.46247,0.22009,0,0,0,0,nan,nan,nan,0.0002378,0.0002378,0.0002378
91,19983.7,0.30465,0.40669,0.2155,0,0,0,0,nan,nan,nan,0.000218,0.000218,0.000218
92,20198.3,0.29796,0.3981,0.20981,0,0,0,0,nan,nan,nan,0.0001982,0.0001982,0.0001982
93,20413,0.28838,0.38102,0.20113,0,0,0,0,nan,nan,nan,0.0001784,0.0001784,0.0001784
94,20627.4,0.27557,0.37572,0.18846,0,0,0,0,nan,nan,nan,0.0001586,0.0001586,0.0001586
95,20842.1,0.28096,0.38363,0.19072,0,0,0,0,nan,nan,nan,0.0001388,0.0001388,0.0001388
96,21056.6,0.27585,0.37202,0.19089,0,0,0,0,nan,nan,nan,0.000119,0.000119,0.000119
97,21270.9,0.27114,0.37227,0.18576,0,0,0,0,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
98,21484.6,0.27224,0.36451,0.18876,0,0,0,0,nan,nan,nan,7.94e-05,7.94e-05,7.94e-05
99,21698.7,0.26418,0.3596,0.17711,0,0,0,0,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
100,21912.8,0.26132,0.35613,0.17475,0,0,0,0,nan,nan,nan,3.98e-05,3.98e-05,3.98e-05
